,link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale,postal_code_str,province
1263,https://www.immoweb.be/en/classified/ground-floor/for-sale/sint-denijs-westrem/9051/20257775,20257775,Sint-denijs-westrem,9051,399000.0,APARTMENT,GROUND_FLOOR,3,145.0,,0,10.0,,2.0,0,,,GOOD,FOR_SALE,9051,Oost-Vlaanderen
1264,https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20252512,20252512,Anzegem,8570,425000.0,HOUSE,HOUSE,4,223.0,0.0,0,0.0,,2.0,0,453.0,,GOOD,FOR_SALE,8570,West-Vlaanderen
1265,https://www.immoweb.be/en/classified/apartment/for-sale/anzegem/8570/20190230,20190230,Anzegem,8570,154500.0,APARTMENT,APARTMENT,1,60.0,0.0,0,,,0.0,0,,INSTALLED,GOOD,FOR_SALE,8570,West-Vlaanderen
1266,https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20275130,20275130,Sint-denijs-westrem,9051,327000.0,APARTMENT,APARTMENT,2,128.0,,1,,,4.0,0,,INSTALLED,,FOR_SALE,9051,Oost-Vlaanderen
1267,https://www.immoweb.be/en/classified/house/for-sale/gent-afsnee/9051/20260290,20260290,Gent afsnee,9051,1350000.0,HOUSE,HOUSE,4,283.0,,0,,,4.0,1,480.0,INSTALLED,GOOD,FOR_SALE,9051,Oost-Vlaanderen
1268,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent-sint-denijs-westrem/9051/20270543,20270543,Gent sint-denijs-westrem,9051,280000.0,APARTMENT,GROUND_FLOOR,2,76.0,0.0,0,12.0,,2.0,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,9051,Oost-Vlaanderen
1269,https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/10513020,10513020,Sint-denijs-westrem,9051,135000.0,APARTMENT,APARTMENT,1,63.0,,0,,,2.0,0,,NOT_INSTALLED,GOOD,FOR_SALE,9051,Oost-Vlaanderen
1270,https://www.immoweb.be/en/classified/house/for-sale/gent/9051/20273714,20273714,Gent,9051,790000.0,HOUSE,HOUSE,6,415.0,,0,0.0,,4.0,0,984.0,,GOOD,FOR_SALE,9051,Oost-Vlaanderen
1271,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent-sint-denijs-westrem/9051/20258786,20258786,Gent sint-denijs-westrem,9051,490000.0,APARTMENT,GROUND_FLOOR,2,137.0,0.0,0,3.0,87.0,2.0,1,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,9051,Oost-Vlaanderen
1272,https://www.immoweb.be/en/classified/ground-floor/for-sale/vichte/8570/10724941,10724941,Vichte,8570,190000.0,APARTMENT,GROUND_FLOOR,1,57.0,,0,18.0,,0.0,0,,USA_INSTALLED,GOOD,FOR_SALE,8570,West-Vlaanderen
1273,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/anzegem/8570/20281080,20281080,Anzegem,8570,199000.0,HOUSE,MIXED_USE_BUILDING,2,92.0,,0,4.0,,4.0,0,0.0,INSTALLED,GOOD,FOR_SALE,8570,West-Vlaanderen
1274,https://www.immoweb.be/en/classified/apartment/for-sale/anzegem/8570/20147183,20147183,Anzegem,8570,275000.0,APARTMENT,APARTMENT,2,116.0,0.0,0,,,0.0,0,,,GOOD,FOR_SALE,8570,West-Vlaanderen
1275,https://www.immoweb.be/en/classified/house/for-sale/gent-afsnee/9051/20252834,20252834,Gent afsnee,9051,475000.0,HOUSE,HOUSE,3,164.0,0.0,0,,130.0,3.0,1,295.0,HYPER_EQUIPPED,GOOD,FOR_SALE,9051,Oost-Vlaanderen
1276,https://www.immoweb.be/en/classified/apartment/for-sale/sint-denijs-westrem/9051/20126167,20126167,Sint-denijs-westrem,9051,365000.0,APARTMENT,APARTMENT,3,126.0,,1,6.0,,4.0,0,,INSTALLED,GOOD,FOR_SALE,9051,Oost-Vlaanderen
1277,https://www.immoweb.be/en/classified/apartment/for-sale/vichte/8570/10724948,10724948,Vichte,8570,190000.0,APARTMENT,APARTMENT,1,57.0,,0,18.0,,0.0,0,,USA_INSTALLED,GOOD,FOR_SALE,8570,West-Vlaanderen
1278,https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20180006,20180006,Anzegem,8570,395000.0,HOUSE,HOUSE,3,366.0,0.0,0,0.0,,4.0,0,1685.0,,GOOD,FOR_SALE,8570,West-Vlaanderen
1279,https://www.immoweb.be/en/classified/house/for-sale/ingooigem/8570/20268709,20268709,Ingooigem,8570,513150.0,HOUSE,HOUSE,5,250.0,,0,,,3.0,0,609.0,INSTALLED,,FOR_SALE,8570,West-Vlaanderen
1280,https://www.immoweb.be/en/classified/apartment/for-sale/ingooigem/8570/11235985,11235985,Ingooigem,8570,295000.0,APARTMENT,APARTMENT,2,86.0,,0,,,0.0,0,,,GOOD,FOR_SALE,8570,West-Vlaanderen
1281,https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20252021,20252021,Anzegem,8570,445000.0,HOUSE,HOUSE,4,190.0,0.0,0,0.0,,2.0,0,675.0,,GOOD,FOR_SALE,8570,West-Vlaanderen
1282,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/sint-pieters-kapelle/1541/20126725,20126725,Sint-pieters-kapelle,1541,475000.0,HOUSE,MIXED_USE_BUILDING,3,250.0,0.0,0,30.0,25.0,3.0,0,323.0,INSTALLED,,FOR_SALE,1541,Vlaams-Brabant
1283,https://www.immoweb.be/en/classified/mansion/for-sale/anzegem/8570/20268710,20268710,Anzegem,8570,625000.0,HOUSE,MANSION,4,600.0,,0,,,4.0,0,1507.0,INSTALLED,TO_BE_DONE_UP,FOR_SALE,8570,West-Vlaanderen
1284,https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20252513,20252513,Anzegem,8570,449000.0,HOUSE,HOUSE,4,191.0,0.0,0,0.0,,3.0,0,699.0,,GOOD,FOR_SALE,8570,West-Vlaanderen
1285,https://www.immoweb.be/en/classified/apartment/for-sale/anzegem/8570/20261664,20261664,Anzegem,8570,149500.0,APARTMENT,APARTMENT,1,56.0,0.0,0,0.0,,2.0,0,,INSTALLED,GOOD,FOR_SALE,8570,West-Vlaanderen
1286,https://www.immoweb.be/en/classified/apartment/for-sale/anzegem/8570/20190229,20190229,Anzegem,8570,173000.0,APARTMENT,APARTMENT,1,60.0,0.0,0,,,0.0,0,,INSTALLED,GOOD,FOR_SALE,8570,West-Vlaanderen
1287,https://www.immoweb.be/en/classified/house/for-sale/vichte/8570/20214488,20214488,Vichte,8570,398500.0,HOUSE,HOUSE,3,362.0,,0,0.0,,0.0,0,378.0,,AS_NEW,FOR_SALE,8570,West-Vlaanderen
1288,https://www.immoweb.be/en/classified/service-flat/for-sale/sint-denijs-westrem/9051/20203956,20203956,Sint-denijs-westrem,9051,205000.0,APARTMENT,SERVICE_FLAT,1,85.0,,0,,,2.0,0,,SEMI_EQUIPPED,GOOD,FOR_SALE,9051,Oost-Vlaanderen
1289,https://www.immoweb.be/en/classified/house/for-sale/ingooigem/8570/20276006,20276006,Ingooigem,8570,439000.0,HOUSE,HOUSE,4,215.0,,0,,,3.0,0,458.0,INSTALLED,AS_NEW,FOR_SALE,8570,West-Vlaanderen
1290,https://www.immoweb.be/en/classified/house/for-sale/anzegem/8570/20275391,20275391,Anzegem,8570,375000.0,HOUSE,HOUSE,3,235.0,,0,0.0,,4.0,0,1794.0,,GOOD,FOR_SALE,8570,West-Vlaanderen
1291,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/oudenaarde/9700/20267631,20267631,Oudenaarde,9700,695000.0,HOUSE,MIXED_USE_BUILDING,5,447.0,0.0,0,13.0,,2.0,0,220.0,,AS_NEW,FOR_SALE,9700,Oost-Vlaanderen
1292,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20280160,20280160,Oudenaarde,9700,349000.0,HOUSE,HOUSE,3,193.0,0.0,0,20.0,,2.0,0,259.0,,GOOD,FOR_SALE,9700,Oost-Vlaanderen
1293,https://www.immoweb.be/en/classified/mansion/for-sale/oudenaarde/9700/20267630,20267630,Oudenaarde,9700,695000.0,HOUSE,MANSION,5,447.0,0.0,0,13.0,,2.0,0,220.0,,AS_NEW,FOR_SALE,9700,Oost-Vlaanderen
1294,https://www.immoweb.be/en/classified/penthouse/for-sale/oudenaarde/9700/20276050,20276050,Oudenaarde,9700,1850000.0,APARTMENT,PENTHOUSE,3,300.0,,0,300.0,,2.0,0,,HYPER_EQUIPPED,AS_NEW,FOR_SALE,9700,Oost-Vlaanderen
1295,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20280159,20280159,Oudenaarde,9700,397500.0,HOUSE,HOUSE,4,152.0,0.0,0,,,2.0,0,250.0,,GOOD,FOR_SALE,9700,Oost-Vlaanderen
1296,https://www.immoweb.be/en/classified/apartment/for-sale/eine/9700/20271549,20271549,Eine,9700,259000.0,APARTMENT,APARTMENT,2,87.0,,0,0.0,,0.0,0,,INSTALLED,GOOD,FOR_SALE,9700,Oost-Vlaanderen
1297,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/20278602,20278602,Oudenaarde,9700,162360.0,APARTMENT,APARTMENT,1,58.0,0.0,0,6.0,,2.0,0,,,,FOR_SALE,9700,Oost-Vlaanderen
1298,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20272895,20272895,Oudenaarde,9700,295000.0,HOUSE,HOUSE,7,231.0,0.0,0,,,2.0,0,170.0,,GOOD,FOR_SALE,9700,Oost-Vlaanderen
