,property_id,postal_code,price,type_of_property,subtype_of_property,number_of_rooms,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building
17221,11023194,3440,179000,HOUSE,HOUSE,3,157.0,0.0,0,21.0,0.0,2.0,0,1059.0,NOT_INSTALLED,TO_RENOVATE
17222,20130126,3001,398000,APARTMENT,APARTMENT,2,96.0,0.0,0,4.0,0.0,0.0,0,0.0,SEMI_EQUIPPED,GOOD
17223,20112330,5575,275000,HOUSE,HOUSE,3,150.0,0.0,0,20.0,0.0,3.0,1,677.0,INSTALLED,AS_NEW
17224,20394523,6690,395000,HOUSE,HOUSE,4,223.0,0.0,1,25.0,0.0,4.0,0,1500.0,SEMI_EQUIPPED,GOOD
17225,11302282,6690,225000,HOUSE,HOUSE,3,170.0,0.0,0,21.0,0.0,2.0,0,279.0,NOT_INSTALLED,UNKNOWN
17226,20350347,1180,380000,APARTMENT,APARTMENT,2,108.0,0.0,0,107.0,0.0,2.0,1,0.0,INSTALLED,GOOD
17227,20266704,3440,345000,HOUSE,HOUSE,3,177.0,0.0,0,22.0,0.0,0.0,0,729.0,INSTALLED,GOOD
17228,20242744,3001,250000,APARTMENT,APARTMENT,1,53.0,0.0,0,10.0,0.0,0.0,0,0.0,UNKNOWN,UNKNOWN
17229,20389468,3290,210000,APARTMENT,APARTMENT,2,114.0,0.0,0,15.0,0.0,0.0,0,0.0,INSTALLED,UNKNOWN
17231,20336149,3001,429000,HOUSE,HOUSE,4,149.0,0.0,0,20.0,0.0,2.0,0,150.0,SEMI_EQUIPPED,UNKNOWN
17232,20215068,5555,475000,HOUSE,VILLA,3,207.0,0.0,1,10.0,500.0,4.0,0,1206.0,UNKNOWN,JUST_RENOVATED
17233,20400169,3290,245000,APARTMENT,APARTMENT,2,85.0,0.0,0,12.0,0.0,2.0,1,0.0,HYPER_EQUIPPED,UNKNOWN
17235,20224806,3001,395000,APARTMENT,APARTMENT,2,90.0,0.0,0,5.0,0.0,0.0,0,0.0,INSTALLED,UNKNOWN
17236,20189672,3440,199000,HOUSE,HOUSE,2,84.0,0.0,0,12.0,0.0,0.0,0,63.0,INSTALLED,GOOD
17237,20332159,3440,399000,HOUSE,MANSION,6,238.0,0.0,0,30.0,0.0,4.0,1,1030.0,HYPER_EQUIPPED,JUST_RENOVATED
