link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/apartment/for-sale/rosieres/1331/20209429,20209429,Rosières,1331,335000,APARTMENT,APARTMENT,80,0,0,8,null,1,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ranst/2520/20093614,20093614,Ranst,2520,589000,HOUSE,HOUSE,230,,0,10,450,3,1,596,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/bornival/1404/20212551,20212551,Bornival,1404,2490000,HOUSE,VILLA,587,,1,130,null,4,1,28500,HYPER_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/nivelles/1404/20184726,20184726,Nivelles,1404,2490000,HOUSE,VILLA,735,0,0,,null,4,1,28500,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beauvechain/1320/11160197,11160197,Beauvechain,1320,545000,HOUSE,HOUSE,250,0,0,,null,4,1,2000,,,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/rixensart/1331/20201719,20201719,Rixensart,1331,369000,APARTMENT,GROUND_FLOOR,103,,0,33,null,2,0,,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/rixensart/1331/20154724,20154724,RIXENSART,1331,559000,HOUSE,HOUSE,223,,1,10,null,4,0,1013,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/rosieres/1331/11215549,11215549,ROSIÈRES,1331,450000,HOUSE,MIXED_USE_BUILDING,322,,1,,1269,3,0,1269,INSTALLED,TO_RESTORE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/bornival/1404/20168874,20168874,Bornival,1404,2490000,HOUSE,HOUSE,587,0,1,,null,4,1,0,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/nivelles/1404/20203247,20203247,Nivelles,1404,2490000,HOUSE,HOUSE,587,0,0,,null,4,1,28560,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/country-cottage/for-sale/beauvechain/1320/11428780,11428780,Beauvechain,1320,680000,HOUSE,COUNTRY_COTTAGE,300,,1,40,3000,4,1,3900,USA_INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/ottignies-louvain-la-neuve/1348/20174233,20174233,Ottignies-louvain-la-neuve,1348,545000,APARTMENT,APARTMENT,117,,0,10,null,2,0,,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/balen/2490/20151321,20151321,Balen,2490,579000,HOUSE,HOUSE,214,0,0,,null,3,1,521,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ranst/2520/20212225,20212225,Ranst,2520,389000,HOUSE,HOUSE,160,0,0,null,250,4,1,565,HYPER_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dottignies/7711/20150197,20150197,Dottignies,7711,349000,HOUSE,HOUSE,130,0,0,,150,2,1,253,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/beauvechain/1320/20232041,20232041,BEAUVECHAIN,1320,595000,HOUSE,HOUSE,310,,1,null,null,3,0,2407,INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/oelegem/2520/11491657,11491657,OELEGEM,2520,625000,HOUSE,VILLA,275,,1,20,1310,4,1,1560,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/bornival/1404/20095717,20095717,Bornival,1404,548000,HOUSE,HOUSE,269,,0,null,null,4,1,2760,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dottignies/7711/11472168,11472168,DOTTIGNIES,7711,440000,HOUSE,HOUSE,300,,0,null,null,2,0,1695,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dottignies/7711/20186757,20186757,DOTTIGNIES,7711,599000,HOUSE,HOUSE,204,,0,,null,0,0,662,HYPER_EQUIPPED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/balen/2490/20230393,20230393,Balen,2490,399395,APARTMENT,APARTMENT,129,,0,23,null,2,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/balen/2490/20230394,20230394,Balen,2490,287073,APARTMENT,APARTMENT,107,,0,14,null,2,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/balen/2490/20230391,20230391,Balen,2490,245000,APARTMENT,GROUND_FLOOR,95,,0,8,53,2,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/dottignies/7711/20220548,20220548,Dottignies,7711,189000,HOUSE,HOUSE,126,0,0,11,96,2,1,190,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/louvain-la-neuve/1348/20006304,20006304,LOUVAIN-LA-NEUVE,1348,155000,APARTMENT,APARTMENT,38,,0,null,null,0,0,,SEMI_EQUIPPED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/balen/2490/20164932,20164932,Balen,2490,949000,HOUSE,VILLA,300,,0,null,null,4,0,3424,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/ottignies-louvain-la-neuve/1348/20064802,20064802,OTTIGNIES-LOUVAIN-LA-NEUVE,1348,405000,APARTMENT,APARTMENT,98,,0,15,null,0,0,,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/ranst-emblem/2520/20055374,20055374,Ranst Emblem,2520,545000,HOUSE,HOUSE,270,0,0,25,900,4,0,1164,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/lecluse/1320/20220778,20220778,L'ECLUSE,1320,595000,HOUSE,VILLA,170,,0,null,1700,4,0,1872,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/ground-floor/for-sale/balen/2490/20230396,20230396,Balen,2490,388344,APARTMENT,GROUND_FLOOR,126,,0,32,null,3,0,,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/balen/2490/11200404,11200404,Balen,2490,389000,HOUSE,VILLA,200,,0,null,null,4,0,2059,,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/florennes/5621/11142389,11142389,Florennes,5621,268327,HOUSE,HOUSE,361,,0,null,null,4,1,361,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/thy-le-bauduin/5621/20184622,20184622,THY-LE-BAUDUIN,5621,220000,HOUSE,HOUSE,,,0,,null,2,1,560,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/florennes/5621/20083588,20083588,Florennes,5621,309000,HOUSE,HOUSE,165,,0,null,null,4,1,621,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/morialme/5621/20233202,20233202,Morialme,5621,225000,HOUSE,HOUSE,175,,0,30,null,2,0,261,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/florennes/5621/20083641,20083641,Florennes,5621,315000,HOUSE,HOUSE,177,,0,null,null,4,1,570,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/florennes-morialme/5621/20193922,20193922,Florennes Morialmé,5621,269000,HOUSE,HOUSE,135,0,0,,null,2,1,0,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/herenthout/2270/20174571,20174571,HERENTHOUT,2270,429500,HOUSE,HOUSE,231,,0,16,null,2,0,194,INSTALLED,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/florennes-morialme/5621/20212053,20212053,Florennes Morialmé,5621,159999,HOUSE,HOUSE,123,,0,null,100,2,0,223,INSTALLED,TO_BE_DONE_UP,FOR_SALE
