link,property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,living_area,furnished,open_fire,terrace_surface,garden,facades,swimming_pool,land_area,equipped_kitchen,state_of_building,type_of_sale
https://www.immoweb.be/en/classified/apartment/for-sale/eeklo/9900/20046866,20046866,Eeklo,9900,260000,APARTMENT,APARTMENT,101,,0,8,null,0,0,,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/20274698,20274698,Grez-Doiceau,1390,1980000,HOUSE,HOUSE,780,0,0,80,31700,4,1,31700,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/20136776,20136776,GREZ-DOICEAU,1390,490000,HOUSE,HOUSE,300,,0,null,null,,0,729,,,FOR_SALE
https://www.immoweb.be/en/classified/villa/for-sale/grez-doiceau/1390/20179050,20179050,Grez-Doiceau,1390,749000,HOUSE,VILLA,280,0,0,,null,4,1,953,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/20372628,20372628,Lokeren,9160,299000,HOUSE,HOUSE,125,,0,,null,2,0,120,,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/lamain/7522/20114087,20114087,Lamain,7522,250000,HOUSE,HOUSE,255,,0,null,2450,3,0,2840,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/20396157,20396157,Eeklo,9900,449000,HOUSE,HOUSE,200,0,0,,null,0,1,312,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/20331572,20331572,LOKEREN,9160,149000,HOUSE,HOUSE,103,,0,null,null,2,0,110,SEMI_EQUIPPED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/eeklo/9900/20337918,20337918,Eeklo,9900,289000,HOUSE,HOUSE,128,,0,,null,3,0,193,INSTALLED,GOOD,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/montegnee/4420/20123102,20123102,MONTEGNÉE,4420,215303,APARTMENT,APARTMENT,80,,0,41,null,2,0,,INSTALLED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/de-pinte/9840/20111972,20111972,De Pinte,9840,540000,HOUSE,HOUSE,235,,0,35,800,4,1,961,INSTALLED,TO_BE_DONE_UP,FOR_SALE
https://www.immoweb.be/en/classified/exceptional-property/for-sale/tournai-blandain/7522/20271875,20271875,Tournai Blandain,7522,1100000,HOUSE,EXCEPTIONAL_PROPERTY,494,0,0,,2063,4,1,2063,HYPER_EQUIPPED,AS_NEW,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/de-pinte/9840/20147994,20147994,De Pinte,9840,298000,HOUSE,HOUSE,153,,0,null,null,2,1,451,,,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/20348673,20348673,Lokeren,9160,180000,HOUSE,HOUSE,134,0,0,20,200,2,1,322,NOT_INSTALLED,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/gilly/6060/11156637,11156637,Gilly,6060,100000,HOUSE,HOUSE,120,0,0,35,160,2,0,258,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/20209484,20209484,Lokeren,9160,299000,HOUSE,HOUSE,160,,0,null,null,3,0,708,,TO_RENOVATE,FOR_SALE
https://www.immoweb.be/en/classified/apartment/for-sale/eeklo/9900/11093690,11093690,Eeklo,9900,290000,APARTMENT,APARTMENT,80,0,0,9,null,0,0,,INSTALLED,GOOD,FOR_SALE
